dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
5589,2022,Full Season,476.0,2022-06-25,0.63,25,730,393,50.46,1,1,0,1,0,0,0.7507,0.2493
5627,2022,Full Season,5804.34,2022-05-28,0.29,14,1095,1076,62.69,0,0,1,1,0,0,0.9401,0.0599
5830,2022,Full Season,2363.85,2022-06-25,0.75,162,1095,1049,46.25,0,1,1,0,0,1,0.3878,0.6122
5889,2022,Full Season,1575.9,2022-06-25,0.75,162,365,516,70.93,1,1,1,0,0,0,0.6641,0.3359
6118,2022,Full Season,2276.3,2022-06-25,0.88,162,1095,1095,60.17,1,2,0,0,0,1,0.3144,0.6856
6230,2022,Full Season,1084.32,2022-05-22,0.14,101,365,505,63.09,1,1,0,1,0,0,0.8062,0.1938
6281,2022,Flex Plan,672.0,1970-01-01,0.0,39,1095,1059,11.04,0,1,0,0,0,0,0.6078,0.3922
6323,2022,Full Season,5690.75,2022-05-28,0.85,162,1095,1070,2.83,0,1,0,0,0,0,0.7038,0.2962
6477,2022,Full Season,1575.9,2022-06-25,0.88,162,1095,1088,56.08,0,2,0,0,0,1,0.323,0.677
6529,2022,Full Season,2276.3,2022-05-28,0.63,162,365,517,8.55,0,0,0,1,0,0,0.6954,0.3046
6669,2022,Full Season,326.65,1970-01-01,0.0,162,1095,948,6.46,0,0,0,1,0,0,0.5961,0.4039
6678,2022,Full Season,1400.8,2022-06-25,0.75,162,365,452,8.55,0,1,1,0,0,0,0.6062,0.3938
6766,2022,Full Season,1926.1,2022-05-28,0.56,162,1095,1054,33.3,0,1,1,0,0,0,0.8067,0.1933
6798,2022,Full Season,2626.5,2022-06-25,0.88,159,1095,1053,5.79,0,2,0,0,0,1,0.3122,0.6878
6981,2022,Full Season,2276.3,2022-06-25,0.75,100,1095,1066,23.14,1,3,0,0,0,0,0.5194,0.4806
6986,2022,Full Season,1575.9,2022-04-09,0.13,162,1095,1053,10.85,4,0,0,2,0,1,0.4787,0.5213
